cell_id	intensity_mean	intensity_membrane_mean	cell_area	cell_edge
103	68.10529019003596	115.8312101910828	1947	314
104	73.42996231155779	122.74666666666667	3184	450
105	87.72222222222223	87.72222222222223	18	18
106	105.0	105.0	2	2
107	78.67182890855457	103.94050991501416	1356	353
108	71.2474835126692	145.04657534246576	2881	365
109	89.36765318882868	144.5785440613027	2399	522
110	72.52151573538856	150.49881235154393	3114	421
111	79.10650887573965	126.02995391705069	3380	434
112	72.9147582697201	139.3284457478006	2358	341
113	70.08991228070175	115.7375	1368	240
114	73.08215488215488	98.2081081081081	1485	370
115	64.35691987513007	137.62884160756502	2883	423
116	74.97610513739546	143.1891891891892	3348	407
117	71.68605504587156	122.74752475247524	5450	606
118	63.5	63.5	12	12
119	74.57441673370877	147.15131578947367	3729	456
120	77.39829424307037	139.4063400576369	2345	347
121	68.77671390271927	130.99157303370785	2611	356
122	80.11222444889779	128.2733564013841	1497	289
123	59.3027027027027	142.42903225806452	2220	310
124	67.43475055296142	130.19037656903765	4069	478
125	76.76456876456876	129.6094276094276	1716	297
126	59.17585117585118	122.95077720207254	2849	386
127	68.41295051924251	122.78125	1637	320
128	144.2941176470588	144.2941176470588	17	17
129	70.88989485981308	168.8341836734694	3424	392
130	77.04737732656514	130.4814814814815	1182	243
131	75.26406685236769	149.3824175824176	3590	455
132	45.25	45.25	4	4
133	65.16575591985428	108.34461538461538	1647	325
134	63.93840579710145	141.23116883116884	2760	385
135	70.32190942472461	117.0131926121372	2451	379
136	76.48616600790514	102.88535031847134	506	157
137	53.59656513285807	128.03856041131107	3086	389
138	25.25	25.25	4	4
139	76.17241379310344	108.93969849246231	812	199
140	72.608125819135	143.3490813648294	2289	381
141	53.289783889980356	99.8785046728972	2036	321
142	70.39109589041095	130.46715328467153	1460	274
143	61.46199460916442	119.70038167938931	3710	524
144	83.7892561983471	92.62857142857143	242	105
145	73.04942037827944	143.69333333333333	1639	300
146	84.15111561866125	130.45454545454547	986	209
147	77.84936778449698	151.41016949152544	1819	295
148	69.6451810926949	110.10434782608695	1629	345
149	64.90695108495771	101.07971014492753	2719	414
150	61.153555555555556	101.20449897750511	4500	489
151	64.66103542234332	118.9931506849315	1835	292
152	65.73647711511789	129.04941860465115	2163	344
153	55.2910920611256	106.75428571428571	2683	350
154	97.48463016330452	171.0273556231003	2082	329
155	70.0817843866171	133.94444444444446	1345	252
156	74.58982266769468	129.6762360446571	3891	627
157	62.83205799436166	119.58312655086849	2483	403
158	58.61977438619775	94.05098039215686	1507	255
159	65.18972533062055	121.3465909090909	1966	352
160	62.7081838930551	107.22811671087533	3067	377
161	76.7375415282392	83.43511450381679	301	131
162	68.69067796610169	137.4402985074627	1652	268
163	53.713872832369944	124.63761467889908	3806	436
164	61.8337617823479	123.53468208092485	2334	346
165	69.45555555555555	134.09384164222874	2070	341
166	63.13693525850023	84.66588785046729	2147	428
167	64.7394217882443	136.7045045045045	5223	555
168	67.53458333333333	118.37406483790524	2400	401
169	89.74730354391372	141.7378277153558	1298	267
170	66.16834782608696	137.20580474934036	2875	379
171	86.5	86.5	20	20
172	69.80244252873563	137.46058091286307	1392	241
173	65.09833465503569	137.21515151515152	2522	330
174	83.28470824949699	147.92384105960264	1988	302
175	64.56414219474497	124.3903133903134	2588	351
176	67.22277639235246	108.57957244655582	2406	421
177	75.86960431654676	138.7712082262211	2224	389
178	57.92961100820323	102.51820128479658	3779	467
179	78.67311827956989	150.35099337748343	1860	302
180	114.0	114.0	6	6
181	90.62106072252114	159.90322580645162	1301	248
182	64.52433628318585	135.4431137724551	2260	334
183	89.48209169054441	137.95488721804512	1396	266
184	74.26269137792103	107.4014598540146	1241	274
185	67.92794193882841	134.77272727272728	1929	286
186	75.12350457424348	141.806146572104	2842	423
187	70.48291571753987	131.51301115241637	1317	269
188	55.08741442864665	101.16234887737478	3798	579
189	84.67033723331039	135.19572953736656	1453	281
190	68.10733396285804	145.34351145038167	3177	393
191	68.54256071681208	120.86730769230769	4241	520
192	78.18627450980392	84.85915492957747	408	142
193	103.99181785841337	190.40366972477065	2811	436
194	75.11256354393609	135.11	1377	300
195	61.25714285714286	61.25714285714286	35	35
196	71.64377242439774	135.29192546583852	1951	322
197	83.06795131845841	135.51965065502182	986	229
198	71.47747747747748	147.9401993355482	1887	301
199	76.23233143785541	109.56	1231	250
200	85.53987206823028	118.93959731543625	2345	447
201	92.70471633629528	152.65808823529412	1463	272
202	72.55561959654179	128.26129032258063	1735	310
203	68.27339066979411	104.87553648068669	3837	466
204	66.8792270531401	121.55411255411255	3312	462
205	61.144243208279434	86.34797297297297	1546	296
206	67.52959697732997	114.06168224299066	3176	535
207	60.73005908419498	140.27386934673368	2708	398
208	76.65811965811966	165.84677419354838	2574	372
209	77.9124649859944	152.75862068965517	1428	261
210	65.99384959463238	121.65086206896552	3577	464
211	59.73770491803279	146.7426273458445	2928	373
212	67.15789473684211	67.15789473684211	19	19
213	69.98360184119677	146.96412556053812	3476	446
214	50.73879551820728	96.95473251028807	4284	486
215	94.5608108108108	170.08285714285714	2516	350
216	60.708874758086814	114.52697095435684	3617	482
217	68.72828623282344	152.76008492569002	3857	471
218	72.30697224015493	127.70678336980306	3098	457
219	69.89582812890332	135.17221135029354	4003	511
220	75.3297262889879	141.6840909090909	3142	440
221	58.23062090242962	109.71195652173913	2593	368
222	60.5903981264637	99.0	4270	501
223	99.9272183449651	120.92827004219409	1003	237
224	74.60284991955872	140.65970772442589	4351	479
225	67.2424	126.24924924924925	2500	333
226	63.34393063583815	121.65650969529086	2422	361
227	70.8031878031878	131.96761133603238	1443	247
228	66.42820622070728	140.34848484848484	2347	330
229	101.75	101.75	4	4
230	62.54142228739003	131.06590257879657	2728	349
231	72.82021116138763	145.13894736842104	3315	475
232	80.07439824945295	99.08609271523179	457	151
233	63.214550206926596	115.71764705882353	4591	510
234	120.64285714285714	120.64285714285714	14	14
235	101.90931223371881	149.23972602739727	1643	292
236	72.82265372168285	114.18666666666667	1545	300
237	58.67163277632374	101.6792828685259	4967	502
238	76.52011291460833	121.33986928104575	1417	306
239	69.9054889131225	139.87142857142857	2751	350
240	78.47795823665894	127.59654631083203	4741	637
241	67.68488063660477	134.32525951557093	1885	289
242	71.57564140371572	150.1855421686747	3391	415
243	72.27181361352216	123.0128617363344	2189	311
244	61.053855278766314	117.87053571428571	4215	448
245	73.45386389850057	127.12264150943396	3468	424
246	69.64294117647059	140.16190476190476	3400	420
247	93.51948051948052	135.3969465648855	462	131
248	134.19630872483222	217.3	596	150
249	91.68120805369128	120.6470588235294	1192	255
250	69.17035217035217	124.29428571428572	2442	350
251	72.79405840886203	115.11455108359134	1986	323
252	67.76079734219269	120.57638888888889	3010	432
253	78.33333333333333	78.33333333333333	3	3
254	71.22591006423983	100.70666666666666	934	225
255	73.28251121076234	123.95498392282958	2007	311
