,year,population,zipcode
4000,2008,6513,11709
4001,2009,6423,11709
4002,2010,6428,11709
4003,2011,6473,11709
4004,2012,6550,11709
4005,2013,6500,11709
4006,2014,6380,11709
4007,2015,6420,11709
4008,2005,35155,11710
4009,2006,33360,11710
4010,2007,34394,11710
4011,2008,33670,11710
4012,2009,33710,11710
4013,2010,33908,11710
4014,2011,34027,11710
4015,2012,33930,11710
4016,2013,34290,11710
4017,2014,34240,11710
4018,2015,34190,11710
4019,2005,9592,11713
4020,2006,9308,11713
4021,2007,9989,11713
4022,2008,9501,11713
4023,2009,9587,11713
4024,2010,9794,11713
4025,2011,9748,11713
4026,2012,9790,11713
4027,2013,10130,11713
4028,2014,9930,11713
4029,2015,10260,11713
4030,2005,22991,11714
4031,2006,22053,11714
4032,2007,23289,11714
4033,2008,22567,11714
4034,2009,22610,11714
4035,2010,22592,11714
4036,2011,22810,11714
4037,2012,22990,11714
4038,2013,22720,11714
4039,2014,22670,11714
4040,2015,22770,11714
4041,2005,4662,11715
4042,2006,4440,11715
4043,2007,4550,11715
4044,2008,4474,11715
4045,2009,4484,11715
4046,2010,4486,11715
4047,2011,4503,11715
4048,2012,4480,11715
4049,2013,4470,11715
4050,2014,4420,11715
4051,2015,4440,11715
4052,2005,10429,11716
4053,2006,10010,11716
4054,2007,10498,11716
4055,2008,10291,11716
4056,2009,10268,11716
4057,2010,10479,11716
4058,2011,10226,11716
4059,2012,10200,11716
4060,2013,10120,11716
4061,2014,10160,11716
4062,2015,10000,11716
4063,2005,53398,11717
4064,2006,52590,11717
4065,2007,56750,11717
4066,2008,55545,11717
4067,2009,57029,11717
4068,2010,58909,11717
4069,2011,58664,11717
4070,2012,60690,11717
4071,2013,61910,11717
4072,2014,62280,11717
4073,2015,62310,11717
4074,2005,3516,11718
4075,2006,3292,11718
4076,2007,3391,11718
4077,2008,3305,11718
4078,2009,3311,11718
4079,2010,3337,11718
4080,2011,3334,11718
4081,2012,3360,11718
4082,2013,3320,11718
4083,2014,3210,11718
4084,2015,3360,11718
4085,2005,3112,11719
4086,2006,2983,11719
4087,2007,3179,11719
4088,2008,2998,11719
4089,2009,2986,11719
4090,2010,2978,11719
4091,2011,2963,11719
4092,2012,3020,11719
4093,2013,2910,11719
4094,2014,2920,11719
4095,2015,2850,11719
4096,2005,29032,11720
4097,2006,27596,11720
4098,2007,28605,11720
4099,2008,27809,11720
4100,2009,27890,11720
4101,2010,28144,11720
4102,2011,27635,11720
4103,2012,27570,11720
4104,2013,27650,11720
4105,2014,27580,11720
4106,2015,27560,11720
4107,2005,6629,11721
4108,2006,6206,11721
4109,2007,6337,11721
4110,2008,6262,11721
4111,2009,6424,11721
4112,2010,6465,11721
4113,2011,6396,11721
4114,2012,6480,11721
4115,2013,6380,11721
4116,2014,6330,11721
4117,2015,6310,11721
4118,2005,30657,11722
4119,2006,30655,11722
4120,2007,32645,11722
4121,2008,31967,11722
4122,2009,32724,11722
4123,2010,33557,11722
4124,2011,34022,11722
4125,2012,35170,11722
4126,2013,36150,11722
4127,2014,36420,11722
4128,2015,35510,11722
4129,2005,3865,11724
4130,2006,3479,11724
4131,2007,3589,11724
4132,2008,3565,11724
4133,2009,3507,11724
4134,2010,3505,11724
4135,2011,3490,11724
4136,2012,3510,11724
4137,2013,3480,11724
4138,2014,3360,11724
4139,2015,3400,11724
4140,2005,30664,11725
4141,2006,29142,11725
4142,2007,29906,11725
4143,2008,29273,11725
4144,2009,29378,11725
4145,2010,29206,11725
4146,2011,29201,11725
4147,2012,29090,11725
4148,2013,28870,11725
4149,2014,28900,11725
4150,2015,28920,11725
4151,2005,18440,11726
4152,2006,18250,11726
4153,2007,19256,11726
4154,2008,18983,11726
4155,2009,19262,11726
4156,2010,20778,11726
4157,2011,19965,11726
4158,2012,19830,11726
4159,2013,19770,11726
4160,2014,19740,11726
4161,2015,19870,11726
4162,2005,25809,11727
4163,2006,25198,11727
4164,2007,26441,11727
4165,2008,25671,11727
4166,2009,25922,11727
4167,2010,26104,11727
4168,2011,26382,11727
4169,2012,26300,11727
4170,2013,26230,11727
4171,2014,26380,11727
4172,2015,26240,11727
4173,2005,26842,11729
4174,2006,25996,11729
4175,2007,27454,11729
4176,2008,26581,11729
4177,2009,26762,11729
4178,2010,26962,11729
4179,2011,27175,11729
4180,2012,27250,11729
4181,2013,27090,11729
4182,2014,27270,11729
4183,2015,27300,11729
4184,2005,14743,11730
4185,2006,14002,11730
4186,2007,14529,11730
4187,2008,14028,11730
4188,2009,14040,11730
4189,2010,13902,11730
4190,2011,13937,11730
4191,2012,14010,11730
4192,2013,13880,11730
4193,2014,13740,11730
4194,2015,13780,11730
4195,2005,30821,11731
4196,2006,29502,11731
4197,2007,30441,11731
4198,2008,29864,11731
4199,2009,29849,11731
4200,2010,29877,11731
4201,2011,30224,11731
4202,2012,29920,11731
4203,2013,29770,11731
4204,2014,29610,11731
4205,2015,29720,11731
4206,2005,3616,11732
4207,2006,3453,11732
4208,2007,3530,11732
4209,2008,3455,11732
4210,2009,3492,11732
4211,2010,3387,11732
4212,2011,3468,11732
4213,2012,3460,11732
4214,2013,3480,11732
4215,2014,3460,11732
4216,2015,3420,11732
4217,2005,19030,11733
4218,2006,17937,11733
4219,2007,18265,11733
4220,2008,18006,11733
4221,2009,17939,11733
4222,2010,17703,11733
4223,2011,17791,11733
4224,2012,17430,11733
4225,2013,17340,11733
4226,2014,17090,11733
4227,2015,17080,11733
4228,2005,31575,11735
4229,2006,30061,11735
4230,2007,31352,11735
4231,2008,30525,11735
4232,2009,30885,11735
4233,2010,31139,11735
4234,2011,31288,11735
4235,2012,31210,11735
4236,2013,31200,11735
4237,2014,31230,11735
4238,2015,31420,11735
4239,2005,16700,11738
4240,2006,15753,11738
4241,2007,16519,11738
4242,2008,16081,11738
4243,2009,16150,11738
4244,2010,16297,11738
4245,2011,16319,11738
4246,2012,16220,11738
4247,2013,16250,11738
4248,2014,16020,11738
4249,2015,16060,11738
4250,2005,9261,11740
4251,2006,8937,11740
4252,2007,9414,11740
4253,2008,9052,11740
4254,2009,9020,11740
4255,2010,9020,11740
4256,2011,9079,11740
4257,2012,9150,11740
4258,2013,9050,11740
4259,2014,8920,11740
4260,2015,9040,11740
4261,2005,28026,11741
4262,2006,26866,11741
4263,2007,27827,11741
4264,2008,27094,11741
4265,2009,27212,11741
4266,2010,27137,11741
4267,2011,27016,11741
4268,2012,27320,11741
4269,2013,26910,11741
4270,2014,26590,11741
4271,2015,26800,11741
4272,2005,13234,11742
4273,2006,12673,11742
4274,2007,13397,11742
4275,2008,13011,11742
4276,2009,12959,11742
4277,2010,12787,11742
4278,2011,13398,11742
4279,2012,13340,11742
4280,2013,13280,11742
4281,2014,12780,11742
4282,2015,12710,11742
4283,2005,43217,11743
4284,2006,40910,11743
4285,2007,41721,11743
4286,2008,41204,11743
4287,2009,41175,11743
4288,2010,41200,11743
4289,2011,41207,11743
4290,2012,41430,11743
4291,2013,41140,11743
4292,2014,40920,11743
4293,2015,40850,11743
4294,2005,65393,11746
4295,2006,62261,11746
4296,2007,64519,11746
4297,2008,63502,11746
4298,2009,64002,11746
4299,2010,63940,11746
4300,2011,64172,11746
4301,2012,64500,11746
4302,2013,65280,11746
4303,2014,64900,11746
4304,2015,64640,11746
4305,2005,20957,11747
4306,2006,19834,11747
4307,2007,20479,11747
4308,2008,20178,11747
4309,2009,19976,11747
4310,2010,20092,11747
4311,2011,20013,11747
4312,2012,20650,11747
4313,2013,20610,11747
4314,2014,20420,11747
4315,2015,20620,11747
4316,2005,3148,11749
4317,2006,2925,11749
4318,2007,3076,11749
4319,2008,2935,11749
4320,2009,3164,11749
4321,2010,3227,11749
4322,2011,3197,11749
4323,2012,3210,11749
4324,2013,3230,11749
4325,2014,3220,11749
4326,2015,3210,11749
4327,2005,14670,11751
4328,2006,14030,11751
4329,2007,14424,11751
4330,2008,14149,11751
4331,2009,14274,11751
4332,2010,14282,11751
4333,2011,14183,11751
4334,2012,14100,11751
4335,2013,14220,11751
4336,2014,14110,11751
4337,2015,13860,11751
4338,2005,9898,11752
4339,2006,9409,11752
4340,2007,9709,11752
4341,2008,9434,11752
4342,2009,9591,11752
4343,2010,9720,11752
4344,2011,9676,11752
4345,2012,9600,11752
4346,2013,9660,11752
4347,2014,9520,11752
4348,2015,9640,11752
4349,2005,13676,11753
4350,2006,12767,11753
4351,2007,13227,11753
4352,2008,13143,11753
4353,2009,13341,11753
4354,2010,13386,11753
4355,2011,13437,11753
4356,2012,13510,11753
4357,2013,13490,11753
4358,2014,13460,11753
4359,2015,13670,11753
4360,2005,18955,11754
4361,2006,18262,11754
4362,2007,18843,11754
4363,2008,18088,11754
4364,2009,18283,11754
4365,2010,18199,11754
4366,2011,18141,11754
4367,2012,18010,11754
4368,2013,18040,11754
4369,2014,18000,11754
4370,2015,18020,11754
4371,2005,11705,11755
4372,2006,11552,11755
4373,2007,12105,11755
4374,2008,11873,11755
4375,2009,12053,11755
4376,2010,11962,11755
4377,2011,11837,11755
4378,2012,11750,11755
4379,2013,11570,11755
4380,2014,11620,11755
4381,2015,11530,11755
4382,2005,43396,11756
4383,2006,41535,11756
4384,2007,43039,11756
4385,2008,42047,11756
4386,2009,42016,11756
4387,2010,42304,11756
4388,2011,42223,11756
4389,2012,42240,11756
4390,2013,42580,11756
4391,2014,42270,11756
4392,2015,42530,11756
4393,2005,43949,11757
4394,2006,42442,11757
4395,2007,44660,11757
4396,2008,43460,11757
4397,2009,43505,11757
4398,2010,43578,11757
4399,2011,44040,11757
4400,2012,43020,11757
4401,2013,43170,11757
4402,2014,42760,11757
4403,2015,42700,11757
4404,2005,55684,11758
4405,2006,52772,11758
4406,2007,54686,11758
4407,2008,53615,11758
4408,2009,54007,11758
4409,2010,54028,11758
4410,2011,54110,11758
4411,2012,53530,11758
4412,2013,53430,11758
4413,2014,53430,11758
4414,2015,53360,11758
4415,2005,23600,11762
4416,2006,22588,11762
4417,2007,23262,11762
4418,2008,22763,11762
4419,2009,22869,11762
4420,2010,22510,11762
4421,2011,22714,11762
4422,2012,22730,11762
4423,2013,22630,11762
4424,2014,22500,11762
4425,2015,22720,11762
4426,2005,26480,11763
4427,2006,25893,11763
4428,2007,27195,11763
4429,2008,26373,11763
4430,2009,26618,11763
4431,2010,26959,11763
4432,2011,27153,11763
4433,2012,27870,11763
4434,2013,27380,11763
4435,2014,26880,11763
4436,2015,27060,11763
4437,2005,13692,11764
4438,2006,12956,11764
4439,2007,13176,11764
4440,2008,13050,11764
4441,2009,12914,11764
4442,2010,12906,11764
4443,2011,12913,11764
4444,2012,12860,11764
4445,2013,12960,11764
4446,2014,12870,11764
4447,2015,12640,11764
4448,2005,720,11765
4449,2006,628,11765
4450,2007,648,11765
4451,2008,628,11765
4452,2009,632,11765
4453,2010,617,11765
4454,2011,612,11765
4455,2012,580,11765
4456,2013,560,11765
4457,2014,550,11765
4458,2015,570,11765
4459,2005,12229,11766
4460,2006,11853,11766
4461,2007,12691,11766
4462,2008,12447,11766
4463,2009,12540,11766
4464,2010,12339,11766
4465,2011,12436,11766
4466,2012,12480,11766
4467,2013,12410,11766
4468,2014,12380,11766
4469,2015,12300,11766
4470,2005,14986,11767
4471,2006,14213,11767
4472,2007,14650,11767
4473,2008,14277,11767
4474,2009,14249,11767
4475,2010,14441,11767
4476,2011,14702,11767
4477,2012,14330,11767
4478,2013,14500,11767
4479,2014,14310,11767
4480,2015,14220,11767
4481,2005,22791,11768
4482,2006,21341,11768
4483,2007,21910,11768
4484,2008,21525,11768
4485,2009,21590,11768
4486,2010,21457,11768
4487,2011,21296,11768
4488,2012,21680,11768
4489,2013,21460,11768
4490,2014,21240,11768
4491,2015,21220,11768
4492,2005,9432,11769
4493,2006,9094,11769
4494,2007,9396,11769
4495,2008,9036,11769
4496,2009,9191,11769
4497,2010,9062,11769
4498,2011,9047,11769
4499,2012,8880,11769
4500,2013,8930,11769
4501,2014,8840,11769
4502,2015,8750,11769
4503,2005,9953,11771
4504,2006,9297,11771
4505,2007,9546,11771
4506,2008,9454,11771
4507,2009,9416,11771
4508,2010,9386,11771
4509,2011,9389,11771
4510,2012,9470,11771
4511,2013,9530,11771
4512,2014,9360,11771
4513,2015,9460,11771
4514,2005,39397,11772
4515,2006,38233,11772
4516,2007,41018,11772
4517,2008,39304,11772
4518,2009,39947,11772
4519,2010,42144,11772
4520,2011,40097,11772
4521,2012,40310,11772
4522,2013,40540,11772
4523,2014,40550,11772
4524,2015,40210,11772
4525,2005,23053,11776
4526,2006,22237,11776
4527,2007,23657,11776
4528,2008,22720,11776
4529,2009,22507,11776
4530,2010,22631,11776
4531,2011,22742,11776
4532,2012,22860,11776
4533,2013,22770,11776
4534,2014,22830,11776
4535,2015,22880,11776
4536,2005,8930,11777
4537,2006,8457,11777
4538,2007,8850,11777
4539,2008,8582,11777
4540,2009,8651,11777
4541,2010,8674,11777
4542,2011,8637,11777
4543,2012,8510,11777
4544,2013,8440,11777
4545,2014,8460,11777
4546,2015,8530,11777
4547,2005,11865,11778
4548,2006,11615,11778
4549,2007,12071,11778
4550,2008,11955,11778
4551,2009,11980,11778
4552,2010,12094,11778
4553,2011,11977,11778
4554,2012,11890,11778
4555,2013,11900,11778
4556,2014,11850,11778
4557,2015,11730,11778
4558,2005,37119,11779
4559,2006,35704,11779
4560,2007,37649,11779
4561,2008,36408,11779
4562,2009,36478,11779
4563,2010,36771,11779
4564,2011,36715,11779
4565,2012,36730,11779
4566,2013,36620,11779
4567,2014,36620,11779
4568,2015,36440,11779
4569,2005,15231,11780
4570,2006,14429,11780
4571,2007,14775,11780
4572,2008,14525,11780
4573,2009,14705,11780
4574,2010,14767,11780
4575,2011,14838,11780
4576,2012,14890,11780
4577,2013,14890,11780
4578,2014,14680,11780
4579,2015,14770,11780
4580,2005,16034,11782
4581,2006,15180,11782
4582,2007,15638,11782
4583,2008,15155,11782
4584,2009,15174,11782
4585,2010,15335,11782
4586,2011,15355,11782
4587,2012,15270,11782
4588,2013,15160,11782
4589,2014,15010,11782
4590,2015,15080,11782
4591,2005,22269,11783
4592,2006,21359,11783
4593,2007,21783,11783
4594,2008,21162,11783
4595,2009,21290,11783
4596,2010,21293,11783
4597,2011,21136,11783
4598,2012,20970,11783
4599,2013,21050,11783
4600,2014,21110,11783
4601,2015,20990,11783
4602,2005,23909,11784
4603,2006,22807,11784
4604,2007,23854,11784
4605,2008,23070,11784
4606,2009,23311,11784
4607,2010,23417,11784
4608,2011,23170,11784
4609,2012,23250,11784
4610,2013,23180,11784
4611,2014,23360,11784
4612,2015,23450,11784
4613,2005,6771,11786
4614,2006,6446,11786
4615,2007,6634,11786
4616,2008,6535,11786
4617,2009,6574,11786
4618,2010,6515,11786
4619,2011,6511,11786
4620,2012,6480,11786
4621,2013,6480,11786
4622,2014,6430,11786
4623,2015,6340,11786
4624,2005,35494,11787
4625,2006,33749,11787
4626,2007,35057,11787
4627,2008,34177,11787
4628,2009,34217,11787
4629,2010,34254,11787
4630,2011,34275,11787
4631,2012,34020,11787
4632,2013,34060,11787
4633,2014,33540,11787
4634,2015,33510,11787
4635,2005,17331,11788
4636,2006,16413,11788
4637,2007,16748,11788
4638,2008,16612,11788
4639,2009,16614,11788
4640,2010,16468,11788
4641,2011,16506,11788
4642,2012,16510,11788
4643,2013,16690,11788
4644,2014,16460,11788
4645,2015,16510,11788
4646,2005,7229,11789
4647,2006,6990,11789
4648,2007,7260,11789
4649,2008,7130,11789
4650,2009,7243,11789
4651,2010,7254,11789
4652,2011,7244,11789
4653,2012,7030,11789
4654,2013,7130,11789
4655,2014,7040,11789
4656,2015,7150,11789
4657,2005,15131,11790
4658,2006,14209,11790
4659,2007,14466,11790
4660,2008,14155,11790
4661,2009,14002,11790
4662,2010,13710,11790
4663,2011,13772,11790
4664,2012,13270,11790
4665,2013,13160,11790
4666,2014,12930,11790
4667,2015,12860,11790
4668,2005,26858,11791
4669,2006,24964,11791
4670,2007,25501,11791
4671,2008,25369,11791
4672,2009,25277,11791
4673,2010,25506,11791
4674,2011,25392,11791
4675,2012,25530,11791
4676,2013,25490,11791
4677,2014,25200,11791
4678,2015,25660,11791
4679,2005,8605,11792
4680,2006,8296,11792
4681,2007,8585,11792
4682,2008,8439,11792
4683,2009,8503,11792
4684,2010,8349,11792
4685,2011,8460,11792
4686,2012,8370,11792
4687,2013,8350,11792
4688,2014,8650,11792
4689,2015,8340,11792
4690,2005,33716,11793
4691,2006,32030,11793
4692,2007,32973,11793
4693,2008,32352,11793
4694,2009,32747,11793
4695,2010,32612,11793
4696,2011,32444,11793
4697,2012,32370,11793
4698,2013,32570,11793
4699,2014,32210,11793
4700,2015,32350,11793
4701,2005,26663,11795
4702,2006,25278,11795
4703,2007,26087,11795
4704,2008,25555,11795
4705,2009,25539,11795
4706,2010,25341,11795
4707,2011,25412,11795
4708,2012,25270,11795
4709,2013,25240,11795
4710,2014,24850,11795
4711,2015,24760,11795
4712,2005,3790,11796
4713,2006,3602,11796
4714,2007,3790,11796
4715,2008,3595,11796
4716,2009,3662,11796
4717,2010,3564,11796
4718,2011,3587,11796
4719,2012,3580,11796
4720,2013,3580,11796
4721,2014,3560,11796
4722,2015,3600,11796
4723,2005,9695,11797
4724,2006,8794,11797
4725,2007,9105,11797
4726,2008,8850,11797
4727,2009,8749,11797
4728,2010,8679,11797
4729,2011,8670,11797
4730,2012,8780,11797
4731,2013,8650,11797
4732,2014,8670,11797
4733,2015,8620,11797
4734,2005,14105,11798
4735,2006,13969,11798
4736,2007,15018,11798
4737,2008,14439,11798
4738,2009,14687,11798
4739,2010,15376,11798
4740,2011,15365,11798
4741,2012,15370,11798
4742,2013,15830,11798
4743,2014,16000,11798
4744,2015,16130,11798
4745,2005,38949,11801
4746,2006,37684,11801
4747,2007,39582,11801
4748,2008,38748,11801
4749,2009,39468,11801
4750,2010,39895,11801
4751,2011,39545,11801
4752,2012,39640,11801
4753,2013,39860,11801
4754,2014,40280,11801
4755,2015,40280,11801
4756,2005,30165,11803
4757,2006,28241,11803
4758,2007,29376,11803
4759,2008,28835,11803
4760,2009,28936,11803
4761,2010,28741,11803
4762,2011,29056,11803
4763,2012,28850,11803
4764,2013,28840,11803
4765,2014,28790,11803
4766,2015,28870,11803
4767,2005,5365,11804
4768,2006,5072,11804
4769,2007,5202,11804
4770,2008,5078,11804
4771,2009,5089,11804
4772,2010,5071,11804
4773,2011,5101,11804
4774,2012,5180,11804
4775,2013,5150,11804
4776,2014,5120,11804
4777,2015,5100,11804
4778,2005,19303,11901
4779,2006,18960,11901
4780,2007,21114,11901
4781,2008,20203,11901
4782,2009,20752,11901
4783,2010,21349,11901
4784,2011,21604,11901
4785,2012,22340,11901
4786,2013,22570,11901
4787,2014,22950,11901
4788,2015,23220,11901
4789,2005,6111,11933
4790,2006,5968,11933
4791,2007,6377,11933
4792,2008,6015,11933
4793,2009,6163,11933
4794,2010,6233,11933
4795,2011,6194,11933
4796,2012,6160,11933
4797,2013,6190,11933
4798,2014,6220,11933
4799,2015,6260,11933
4800,2005,7333,11934
4801,2006,7113,11934
4802,2007,7600,11934
4803,2008,7349,11934
4804,2009,7534,11934
4805,2010,7469,11934
4806,2011,7793,11934
4807,2012,7720,11934
4808,2013,7820,11934
4809,2014,7790,11934
4810,2015,7930,11934
4811,2005,3492,11935
4812,2006,3358,11935
4813,2007,3427,11935
4814,2008,3366,11935
4815,2009,3369,11935
4816,2010,3419,11935
4817,2011,3321,11935
4818,2012,3340,11935
4819,2013,3340,11935
4820,2014,3300,11935
4821,2015,3250,11935
4822,2005,14540,11937
4823,2006,14355,11937
4824,2007,14728,11937
4825,2008,14534,11937
4826,2009,14648,11937
4827,2010,14854,11937
4828,2011,14891,11937
4829,2012,15180,11937
4830,2013,15780,11937
4831,2014,15320,11937
4832,2015,15590,11937
4833,2005,972,11939
4834,2006,934,11939
4835,2007,969,11939
4836,2008,923,11939
4837,2009,929,11939
4838,2010,926,11939
4839,2011,898,11939
4840,2012,890,11939
4841,2013,830,11939
4842,2014,880,11939
4843,2015,880,11939
4844,2005,5265,11940
4845,2006,5035,11940
4846,2007,5156,11940
4847,2008,5045,11940
4848,2009,5068,11940
4849,2010,5041,11940
4850,2011,5157,11940
4851,2012,5180,11940
4852,2013,5180,11940
4853,2014,5110,11940
4854,2015,5150,11940
4855,2005,2354,11941
4856,2006,2290,11941
4857,2007,2436,11941
4858,2008,2379,11941
4859,2009,2420,11941
4860,2010,2435,11941
4861,2011,2515,11941
4862,2012,2560,11941
4863,2013,2400,11941
4864,2014,2370,11941
4865,2015,2470,11941
4866,2005,4632,11942
4867,2006,4485,11942
4868,2007,4654,11942
4869,2008,4494,11942
4870,2009,4499,11942
4871,2010,4606,11942
4872,2011,4711,11942
4873,2012,4670,11942
4874,2013,4960,11942
4875,2014,4940,11942
4876,2015,4750,11942
4877,2005,3735,11944
4878,2006,3658,11944
4879,2007,3897,11944
4880,2008,3736,11944
4881,2009,3825,11944
4882,2010,3839,11944
4883,2011,3990,11944
4884,2012,4020,11944
4885,2013,3910,11944
4886,2014,4020,11944
4887,2015,3980,11944
4888,2005,11737,11946
4889,2006,11701,11946
4890,2007,12432,11946
4891,2008,12286,11946
4892,2009,12541,11946
4893,2010,12647,11946
4894,2011,13043,11946
4895,2012,13360,11946
4896,2013,13440,11946
4897,2014,13910,11946
4898,2015,13600,11946
4899,2005,1107,11948
4900,2006,1111,11948
4901,2007,1096,11948
4902,2008,1074,11948
4903,2009,1059,11948
4904,2010,1108,11948
4905,2011,1213,11948
4906,2012,1110,11948
4907,2013,1140,11948
4908,2014,1130,11948
4909,2015,1120,11948
4910,2005,13963,11949
4911,2006,13396,11949
4912,2007,14080,11949
4913,2008,13613,11949
4914,2009,13770,11949
4915,2010,13642,11949
4916,2011,13622,11949
4917,2012,13690,11949
4918,2013,13730,11949
4919,2014,13690,11949
4920,2015,13770,11949
4921,2005,15151,11950
4922,2006,14760,11950
4923,2007,15357,11950
4924,2008,14908,11950
4925,2009,14823,11950
4926,2010,15122,11950
4927,2011,15055,11950
4928,2012,15150,11950
4929,2013,15370,11950
4930,2014,15170,11950
4931,2015,14960,11950
4932,2005,12248,11951
4933,2006,11973,11951
4934,2007,12527,11951
4935,2008,12121,11951
4936,2009,12143,11951
4937,2010,12293,11951
4938,2011,12205,11951
4939,2012,12050,11951
4940,2013,12030,11951
4941,2014,11830,11951
4942,2015,11800,11951
4943,2005,5058,11952
4944,2006,4781,11952
4945,2007,4904,11952
4946,2008,4746,11952
4947,2009,4830,11952
4948,2010,4732,11952
4949,2011,4811,11952
4950,2012,4790,11952
4951,2013,4700,11952
4952,2014,4540,11952
4953,2015,4600,11952
4954,2005,12114,11953
4955,2006,11787,11953
4956,2007,12254,11953
4957,2008,11683,11953
4958,2009,11671,11953
4959,2010,11765,11953
4960,2011,11578,11953
4961,2012,11650,11953
4962,2013,11780,11953
4963,2014,11610,11953
4964,2015,11600,11953
4965,2005,4503,11954
4966,2006,4390,11954
4967,2007,4333,11954
4968,2008,4183,11954
4969,2009,4181,11954
4970,2010,4340,11954
4971,2011,4422,11954
4972,2012,4440,11954
4973,2013,4410,11954
4974,2014,4430,11954
4975,2015,4300,11954
4976,2005,3020,11955
4977,2006,2965,11955
4978,2007,3076,11955
4979,2008,2926,11955
4980,2009,2909,11955
4981,2010,2941,11955
4982,2011,2889,11955
4983,2012,2970,11955
4984,2013,2950,11955
4985,2014,2880,11955
4986,2015,2920,11955
4987,2005,901,11957
4988,2006,874,11957
4989,2007,882,11957
4990,2008,859,11957
4991,2009,845,11957
4992,2010,836,11957
4993,2011,828,11957
4994,2012,820,11957
4995,2013,770,11957
4996,2014,740,11957
4997,2015,730,11957
4998,2005,861,11958
4999,2006,838,11958
5000,2007,899,11958
5001,2008,921,11958
5002,2009,920,11958
5003,2010,904,11958
5004,2011,955,11958
5005,2012,910,11958
5006,2013,910,11958
5007,2014,870,11958
5008,2015,810,11958
5009,2005,12093,11961
5010,2006,11568,11961
5011,2007,12425,11961
5012,2008,11586,11961
5013,2009,11542,11961
5014,2010,11584,11961
5015,2011,11552,11961
5016,2012,11500,11961
5017,2013,11970,11961
5018,2014,11720,11961
5019,2015,11600,11961
5020,2005,6972,11963
5021,2006,6766,11963
5022,2007,7069,11963
5023,2008,6828,11963
5024,2009,6802,11963
5025,2010,6819,11963
5026,2011,6902,11963
5027,2012,7170,11963
5028,2013,6940,11963
5029,2014,7060,11963
5030,2015,6870,11963
5031,2005,24719,11967
5032,2006,23944,11967
5033,2007,24988,11967
5034,2008,24294,11967
5035,2009,24486,11967
5036,2010,31221,11967
5037,2011,24453,11967
5038,2012,24470,11967
5039,2013,24290,11967
5040,2014,24310,11967
5041,2015,24530,11967
5042,2005,8941,11968
5043,2006,8658,11968
5044,2007,9049,11968
5045,2008,8806,11968
5046,2009,8804,11968
5047,2010,8969,11968
5048,2011,9061,11968
5049,2012,9360,11968
5050,2013,9430,11968
5051,2014,9440,11968
5052,2015,9370,11968
5053,2005,6033,11971
5054,2006,5836,11971
5055,2007,5944,11971
5056,2008,5759,11971
5057,2009,5705,11971
5058,2010,5616,11971
5059,2011,5635,11971
5060,2012,5700,11971
5061,2013,5580,11971
5062,2014,5550,11971
5063,2015,5440,11971
5064,2005,2327,11976
5065,2006,2247,11976
5066,2007,2226,11976
5067,2008,2287,11976
5068,2009,2226,11976
5069,2010,2228,11976
5070,2011,2127,11976
5071,2012,2150,11976
5072,2013,2050,11976
5073,2014,2040,11976
5074,2015,2070,11976
5075,2005,2284,11977
5076,2006,2263,11977
5077,2007,2340,11977
5078,2008,2284,11977
5079,2009,2237,11977
5080,2010,2352,11977
5081,2011,2311,11977
5082,2012,2310,11977
5083,2013,2290,11977
5084,2014,2450,11977
5085,2015,2380,11977
5086,2005,3400,11978
5087,2006,3231,11978
5088,2007,3434,11978
5089,2008,3315,11978
5090,2009,3317,11978
5091,2010,3389,11978
5092,2011,3364,11978
5093,2012,3390,11978
5094,2013,3500,11978
5095,2014,3650,11978
5096,2015,3420,11978
5097,2005,3958,11980
5098,2006,3849,11980
5099,2007,3982,11980
5100,2008,3868,11980
5101,2009,3872,11980
5102,2010,3930,11980
5103,2011,3921,11980
5104,2012,3930,11980
5105,2013,4050,11980
5106,2014,4030,11980
5107,2015,3960,11980
5108,2005,199,12007
5109,2006,175,12007
5110,2007,191,12007
5111,2009,179,12007
5112,2011,173,12007
5113,2012,180,12007
5114,2013,170,12007
5115,2014,180,12007
5116,2015,170,12007
5117,2005,501,12008
5118,2006,472,12008
5119,2007,508,12008
5120,2009,478,12008
5121,2010,470,12008
5122,2011,471,12008
5123,2012,470,12008
5124,2013,460,12008
5125,2014,480,12008
5126,2015,480,12008
5127,2005,6934,12009
5128,2006,6513,12009
5129,2007,6843,12009
5130,2008,6642,12009
5131,2009,6690,12009
5132,2010,6795,12009
5133,2011,6730,12009
5134,2012,6900,12009
5135,2013,7040,12009
5136,2014,7090,12009
5137,2015,7050,12009
5138,2005,25400,12010
5139,2006,24615,12010
5140,2007,27056,12010
5141,2008,24918,12010
5142,2009,24631,12010
5143,2010,24570,12010
5144,2011,24466,12010
5145,2012,24180,12010
5146,2013,24240,12010
5147,2014,24190,12010
5148,2015,24190,12010
5149,2005,3091,12015
5150,2006,3047,12015
5151,2007,3271,12015
5152,2008,3104,12015
5153,2009,3091,12015
5154,2010,3188,12015
5155,2011,3083,12015
5156,2012,3170,12015
5157,2013,3090,12015
5158,2014,3080,12015
5159,2015,2980,12015
5160,2005,375,12017
5161,2006,357,12017
5162,2007,349,12017
5163,2009,334,12017
5164,2010,353,12017
5165,2011,346,12017
5166,2012,350,12017
5167,2013,330,12017
5168,2014,350,12017
5169,2015,330,12017
5170,2005,7701,12018
