,year,date,statefips,countyfips,pm_max_pred,pm_med_pred,pm_mean_pred,pm_pop_pred
234,2001,2001-01-01,8,8037,15.207875,14.8431565,14.751938786,14.686899931
235,2001,2001-01-01,8,8039,20.077312,18.625564,18.572643429,18.928940321
236,2001,2001-01-01,8,8041,16.629512,14.9049865,15.009039777,15.116545779
237,2001,2001-01-01,8,8043,13.520538,13.004282,13.042571,13.065103165
238,2001,2001-01-01,8,8045,15.142474,14.37019,14.379549455,14.400364958
239,2001,2001-01-01,8,8047,19.099107,19.099107,19.099107,19.099107
240,2001,2001-01-01,8,8049,17.318006,17.101848,16.641932,16.859009674
241,2001,2001-01-01,8,8051,13.411971,12.8668605,12.9511795,12.923306051
242,2001,2001-01-01,8,8053,11.166512,11.166512,11.166512,11.166512
243,2001,2001-01-01,8,8055,11.691559,11.667752,11.667752,11.668337331
244,2001,2001-01-01,8,8057,15.298445,15.298445,15.298445,15.298445
245,2001,2001-01-01,8,8059,23.114726,21.7165095,21.496735029,21.519436278
246,2001,2001-01-01,8,8061,15.812115,15.812115,15.812115,15.812115
247,2001,2001-01-01,8,8063,15.90177,15.52864,15.342181667,14.95113673
248,2001,2001-01-01,8,8065,14.257779,14.1607145,14.1607145,14.200151103
249,2001,2001-01-01,8,8067,11.644686,10.494869,10.6690447,10.685737241
250,2001,2001-01-01,8,8069,23.634546,21.800124,21.484641411,21.741476987
251,2001,2001-01-01,8,8071,11.487552,10.9476,11.043612833,11.050777756
252,2001,2001-01-01,8,8073,16.875322,16.21902,16.21902,16.370160336
253,2001,2001-01-01,8,8075,17.492478,16.807399,16.592426833,16.704904517
254,2001,2001-01-01,8,8077,14.329048,13.445329,13.48701269,13.527105154
255,2001,2001-01-01,8,8079,10.970328,10.970328,10.970328,10.970328
256,2001,2001-01-01,8,8081,17.607212,16.115628,16.46894075,16.271235702
257,2001,2001-01-01,8,8083,12.820676,12.176206,12.055789286,12.006562073
258,2001,2001-01-01,8,8085,13.109028,12.778081,12.7591481,12.762399996
259,2001,2001-01-01,8,8087,23.12153,21.652089,21.642511375,21.580792202
260,2001,2001-01-01,8,8089,14.55408,14.117491,14.036646714,14.118071775
261,2001,2001-01-01,8,8091,11.853443,11.853443,11.853443,11.853443
262,2001,2001-01-01,8,8093,16.703005,14.599091,15.086324,15.517253625
263,2001,2001-01-01,8,8095,14.161147,13.784015,13.784015,13.649870795
264,2001,2001-01-01,8,8097,13.781451,13.69423,13.6787065,13.686983681
265,2001,2001-01-01,8,8099,15.667181,15.284258,15.3503082,15.329075607
266,2001,2001-01-01,8,8101,14.114104,13.773993,13.727289764,13.69544148
267,2001,2001-01-01,8,8103,16.505748,16.0870175,16.0870175,16.021060851
268,2001,2001-01-01,8,8105,11.407426,11.270895,11.274509667,11.281943297
269,2001,2001-01-01,8,8107,15.862596,15.238711,15.270779375,15.240223439
270,2001,2001-01-01,8,8109,11.958709,11.859985,11.859985,11.862862026
271,2001,2001-01-01,8,8111,10.902546,10.902546,10.902546,10.902546
272,2001,2001-01-01,8,8113,11.914465,11.387674,11.47593075,11.45027401
273,2001,2001-01-01,8,8115,13.460163,13.460163,13.460163,13.460163
274,2001,2001-01-01,8,8117,16.300947,15.366866,15.4824018,15.574284067
275,2001,2001-01-01,8,8119,15.323805,14.514644,14.461592667,14.760945626
276,2001,2001-01-01,8,8121,18.577042,18.2078085,18.2078085,18.247385668
277,2001,2001-01-01,8,8123,25.91132,25.092565,24.777681805,24.789991442
